Tag,Number_Games
Motorbike,206
Medical Sim,205
World War I,199
Rome,193
Farming,193
Bikes,187
Unforgiving,184
LEGO,184
Pinball,183
Spaceships,173
Electronic Music,170
Submarine,169
Roguevania,168
Basketball,167
Social Deduction,167
Asymmetric VR,165
Ambient,164
Epic,162
Gaming,155
TrackIR,146
Silent Protagonist,146
Football (American),144
Mini Golf,141
Games Workshop,137
Crowdfunded,135
Warhammer 40K,131
Based On A Novel,118
Skateboarding,116
Wrestling,109
Vikings,105
Instrumental Music,104
Pool,97
Tennis,96
Baseball,96
Cycling,94
Motocross,84
Tile-Matching,83
Skating,83
Lemmings,77
Intentionally Awkward Controls,74
Mahjong,72
Hockey,69
Job Simulator,68
Rock Music,67
Boss Rush,66
8-bit Music,64
Bowling,63
Jump Scare,59
Snowboarding,57
Skiing,50
BMX,49
ATV,45
Electronic,43
Voice Control,41
Well-Written,40
Feature Film,36
Hardware,35
Benchmark,34
Steam Machine,33
Shop Keeper,29
Musou,28
Cricket,24
Rugby,23
Birds,22
Volleyball,20
Coding,20
Hobby Sim,17
Fox,17
Snooker,15
Reboot,15
Extraction Shooter,14
