"DateTime","Games"
"2020-07-01 00:00:00",883
"2020-08-01 00:00:00",859
"2020-09-01 00:00:00",833
"2020-10-01 00:00:00",982
"2020-11-01 00:00:00",880
"2020-12-01 00:00:00",920
"2021-01-01 00:00:00",748
"2021-02-01 00:00:00",865
"2021-03-01 00:00:00",964
"2021-04-01 00:00:00",901
"2021-05-01 00:00:00",927
"2021-06-01 00:00:00",932
"2021-07-01 00:00:00",932
"2021-08-01 00:00:00",934
"2021-09-01 00:00:00",983
"2021-10-01 00:00:00",1190
"2021-11-01 00:00:00",993
"2021-12-01 00:00:00",1072
"2022-01-01 00:00:00",928
"2022-02-01 00:00:00",905
"2022-03-01 00:00:00",1114
"2022-04-01 00:00:00",888
"2022-05-01 00:00:00",1111
"2022-06-01 00:00:00",934
"2022-07-01 00:00:00",1049
"2022-08-01 00:00:00",1085
"2022-09-01 00:00:00",1117
"2022-10-01 00:00:00",1217
"2022-11-01 00:00:00",1158
"2022-12-01 00:00:00",1157
"2023-01-01 00:00:00",1019
"2023-02-01 00:00:00",1078
"2023-03-01 00:00:00",1244
"2023-04-01 00:00:00",1214
"2023-05-01 00:00:00",1176
"2023-06-01 00:00:00",1125
"2023-07-01 00:00:00",1106
"2023-08-01 00:00:00",991
