"DateTime","Games"
"2006-01-01 00:00:00",71
"2007-01-01 00:00:00",136
"2008-01-01 00:00:00",242
"2009-01-01 00:00:00",379
"2010-01-01 00:00:00",276
"2011-01-01 00:00:00",280
"2012-01-01 00:00:00",301
"2013-01-01 00:00:00",435
"2014-01-01 00:00:00",1716
"2015-01-01 00:00:00",2829
"2016-01-01 00:00:00",4674
"2017-01-01 00:00:00",6952
"2018-01-01 00:00:00",8909
"2019-01-01 00:00:00",8141
"2020-01-01 00:00:00",9772
"2021-01-01 00:00:00",11441
"2022-01-01 00:00:00",12663
"2023-01-01 00:00:00",8953
