#,Name,Release,Peak Users,Positive,Negative,Total,Rating
1,Hades,9/17/2020,37749,228283,3485,231768,0.9732
2,Half-Life: Alyx,3/23/2020,42858,80927,1341,82268,0.9677
3,The Henry Stickmin Collection,8/7/2020,2812,38817,527,39344,0.9665
4,ULTRAKILL,9/3/2020,16354,72382,1323,73705,0.9655
5,Helltaker,5/11/2020,6509,111209,2406,113615,0.9644
6,Senren＊Banka,2/14/2020,1450,15345,141,15486,0.964
7,ATRI -My Dear Moments-,6/18/2020,724,13044,157,13201,0.96
8,OMORI,12/25/2020,3166,58208,1348,59556,0.9599
9,tModLoader,5/16/2020,40001,194817,5839,200656,0.959
10,Our Life: Beginnings & Always,11/16/2020,1942,9721,100,9821,0.959
11,Deep Rock Galactic,5/13/2020,46687,225588,6968,232556,0.9586
12,Satisfactory,6/8/2020,34238,133894,4007,137901,0.9576
13,Phasmophobia,9/18/2020,112717,569397,21708,591105,0.9548
14,There Is No Game: Wrong Dimension,8/6/2020,1348,19298,410,19708,0.9548
15,Persona 4 Golden,6/13/2020,29984,62035,1852,63887,0.9542
16,VTOL VR,8/3/2020,1413,12559,244,12803,0.953
17,Factorio,8/14/2020,34700,163931,6032,169963,0.9521
18,Ori and the Will of the Wisps,3/11/2020,34807,111802,3983,115785,0.9517
19,Risk of Rain 2,8/11/2020,71548,234692,9261,243953,0.951
20,Riddle Joker,12/18/2020,724,3788,42,3830,0.9482
21,The Test,2/24/2020,407,18195,516,18711,0.948
22,Cube Escape Collection,10/14/2020,985,4820,74,4894,0.9473
23,Milk inside a bag of milk inside a bag of milk,8/26/2020,79,19087,568,19655,0.9471
24,Virtual Cottage,10/7/2020,1801,7938,174,8112,0.9467
25,The Test: Final Revelation,10/12/2020,131,4932,85,5017,0.9459
26,The Test: Hypothesis Rising,4/27/2020,184,5443,110,5553,0.9444
27,The Supper,1/28/2020,53,3278,47,3325,0.9436
28,Maitetsu:Last Run!!,10/30/2020,438,3127,43,3170,0.9435
29,NEKOPARA Vol. 4,11/26/2020,2529,7786,198,7984,0.9434
30,Wobbly Life,7/8/2020,3161,14068,443,14511,0.9432
31,Post Void,8/6/2020,133,8244,225,8469,0.9423
32,Marco & The Galaxy Dragon,2/28/2020,287,5427,122,5549,0.9423
33,Samsara Room,4/29/2020,1514,7427,196,7623,0.9421
34,Summer Pockets,2/6/2020,206,2527,31,2558,0.9419
35,Cats Organized Neatly,10/12/2020,292,3183,52,3235,0.9414
36,Alba: A Wildlife Adventure,12/11/2020,198,4500,97,4597,0.9411
37,Black Mesa,3/6/2020,7158,96114,4633,100747,0.9399
38,Desperados III,6/16/2020,6057,11631,390,12021,0.9399
39,Vampires' Melody,10/3/2020,174,3755,80,3835,0.9392
40,Star Fetchers,1/17/2020,122,6249,174,6423,0.9391
41,Being a DIK,2/14/2020,5709,9702,322,10024,0.9387
42,Epiphyllum in Love,3/17/2020,97,1853,20,1873,0.9387
43,Outer Wilds,6/18/2020,7936,50460,2373,52833,0.9379
44,Monster Train,5/21/2020,14073,18000,715,18715,0.9379
45,shapez,6/7/2020,2622,9635,328,9963,0.9379
46,There is no game: Jam Edition 2015,3/18/2020,197,5663,160,5823,0.9378
47,Besiege,2/18/2020,11206,43769,2026,45795,0.9377
48,Carto,10/27/2020,929,6316,190,6506,0.9373
49,Monster Prom 2: Monster Camp,10/23/2020,2252,5167,146,5313,0.9368
50,Spiritfarer®: Farewell Edition,8/18/2020,5603,31780,1450,33230,0.9365
51,5D Chess With Multiverse Time Travel,7/22/2020,649,6233,193,6426,0.9364
52,Noita,10/15/2020,5239,53498,2649,56147,0.936
53,Titanfall® 2,6/18/2020,27631,166928,9204,176132,0.9359
54,The Walking Dead: The Telltale Definitive Series,10/29/2020,2236,12372,486,12858,0.9354
55,Door Kickers 2,11/3/2020,913,6580,223,6803,0.9344
56,The Room VR: A Dark Matter,3/26/2020,139,3104,75,3179,0.9344
57,Yakuza: Like a Dragon,11/10/2020,9535,21291,963,22254,0.9343
58,Tukoni,11/19/2020,93,3211,85,3296,0.9328
59,The Pedestrian,1/29/2020,170,3565,101,3666,0.9325
60,Untitled Goose Game,9/23/2020,1951,14948,668,15616,0.9322
61,Zup! Z,12/21/2020,1288,3783,113,3896,0.9319
62,千面 Melancholy Love,1/3/2020,87,1722,30,1752,0.9319
63,Sakuya Izayoi Gives You Advice And Dabs,2/10/2020,293,1903,37,1940,0.9317
64,Fireworks Mania,12/17/2020,797,4374,146,4520,0.9306
65,It Steals,7/22/2020,46,1141,13,1154,0.9302
66,The Jackbox Party Pack 7,10/15/2020,10599,3885,126,4011,0.93
67,Detroit: Become Human,6/18/2020,7218,84124,5016,89140,0.9294
68,Coloring Game 2,1/10/2020,502,3114,95,3209,0.929
69,像素女友,8/20/2020,212,1249,19,1268,0.9286
70,ARMORED HEAD,7/31/2020,24,949,9,958,0.9285
71,Aokana - EXTRA1,11/6/2020,199,1053,13,1066,0.928
72,Leaf Blower Revolution - Idle Game,12/4/2020,8125,18999,1019,20018,0.9263
73,A Space For The Unbound - Prologue,1/22/2020,19,1240,22,1262,0.9263
74,Journey,6/11/2020,1757,24428,1383,25811,0.9254
75,Songs of Syx,9/21/2020,592,2669,87,2756,0.9253
76,Superliminal,11/5/2020,1439,22344,1257,23601,0.9252
77,Hylics 2,6/22/2020,186,2023,57,2080,0.9252
78,Coffee Talk,1/29/2020,673,8155,393,8548,0.9243
79,東方風神録 〜 Mountain of Faith.,6/6/2020,98,804,9,813,0.9239
80,Poly Bridge 2,5/28/2020,1924,6480,302,6782,0.9235
81,YOU and ME and HER: A Love Story,5/25/2020,156,2861,103,2964,0.9233
82,Vecter,10/14/2020,270,2759,100,2859,0.9227
83,Manifold Garden,10/20/2020,326,4696,206,4902,0.9225
84,CARRION,7/23/2020,6347,19388,1132,20520,0.9224
85,Baldi's Basics Plus,6/12/2020,228,2579,93,2672,0.9219
86,Some Some Convenience Store,1/15/2020,783,2845,111,2956,0.9207
87,Kingdom Rush Vengeance,10/15/2020,3206,6473,327,6800,0.9202
88,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,6/23/2020,15419,13722,803,14525,0.9199
89,Project Wingman,12/1/2020,2113,13411,782,14193,0.9199
90,The Riftbreaker: Prologue,8/5/2020,1139,3907,177,4084,0.9193
91,坦率的小红帽和爱说谎的狼,1/14/2020,20,936,19,955,0.9193
92,Chronicon,8/21/2020,4868,8064,441,8505,0.9187
93,Tiny Bunny: Prologue,3/19/2020,142,1912,67,1979,0.9187
94,House,10/30/2020,202,1501,46,1547,0.9187
95,Christmas Tina -泡沫冬景-,1/3/2020,399,4054,190,4244,0.9184
96,The Life and Suffering of Sir Brante — Chapter 1&2,12/1/2020,246,1957,70,2027,0.9184
97,F1 2020,7/9/2020,24010,37423,2565,39988,0.9179
98,Flowers -Le volume sur automne-,7/31/2020,102,577,6,583,0.9177
99,Island Saver,5/13/2020,755,2741,116,2857,0.9175
100,Creeper World 4,12/3/2020,3828,3323,152,3475,0.9171
101,a new life.,5/15/2020,43,1819,66,1885,0.917
102,Micro Platformer,4/21/2020,79,1416,45,1461,0.9169
103,TROUBLESHOOTER: Abandoned Children,4/23/2020,1012,7414,418,7832,0.9166
104,恋爱绮谭 不存在的夏天,10/31/2020,139,2392,99,2491,0.9166
105,The Procession to Calvary,4/9/2020,73,798,16,814,0.9165
106,The Coma 2: Vicious Sisters,1/28/2020,261,2386,99,2485,0.9164
107,When The Past Was Around,9/22/2020,171,2959,133,3092,0.9163
108,NOeSIS-诉说谎言的记忆之物语,3/19/2020,155,1047,28,1075,0.916
109,LEWDAPOCALYPSE,4/30/2020,389,6417,361,6778,0.9154
110,I Wanna Maker,2/13/2020,514,3301,159,3460,0.915
111,ShellShock Live,5/22/2020,7455,30729,2176,32905,0.9149
112,DRAGON BALL Z: KAKAROT,1/16/2020,25852,40290,2937,43227,0.9147
113,WORLD OF HORROR,2/20/2020,704,5417,300,5717,0.9144
114,Murder House,10/23/2020,119,1682,64,1746,0.9144
115,Mosaique Neko Waifus 2,6/5/2020,722,2485,113,2598,0.9137
116,A Summer's End - Hong Kong 1986,4/23/2020,101,1478,54,1532,0.9137
117,Roman's Christmas / 罗曼圣诞探案集,2/20/2020,348,1361,48,1409,0.9134
118,Football Manager 2021,11/24/2020,93865,22214,1564,23778,0.9133
119,Return to Shironagasu Island,3/3/2020,258,2494,115,2609,0.9132
120,Dictators:No Peace Countryballs,1/1/2020,263,5198,295,5493,0.9129
121,Penko Park,10/23/2020,40,417,3,420,0.9129
122,Propagation VR,9/25/2020,162,4557,255,4812,0.9122
123,Mini Healer,4/24/2020,735,1829,79,1908,0.9114
124,Utawarerumono: Mask of Truth,1/23/2020,250,1122,38,1160,0.9114
125,Making Lovers,4/3/2020,211,586,11,597,0.9113
126,Soda Dungeon 2,7/9/2020,13385,4610,265,4875,0.9111
127,Shotgun Witch,10/24/2020,32,890,26,916,0.9111
128,Roboquest,8/20/2020,821,6086,373,6459,0.9107
129,Into the Radius VR,7/20/2020,496,7853,505,8358,0.9106
130,CBT With Yuuka Kazami,10/19/2020,212,918,28,946,0.9106
131,Wingspan,9/17/2020,1470,6937,437,7374,0.9105
132,Cyber Hook,9/24/2020,123,2441,120,2561,0.9105
133,Children of Silentown: Prologue,11/25/2020,134,1009,33,1042,0.9105
134,DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition,12/4/2020,4813,6747,426,7173,0.9102
135,Loop-Loop DX,4/20/2020,35,406,4,410,0.9102
136,Florence,2/13/2020,141,9744,656,10400,0.9099
137,Tales From Off-Peak City Vol. 1,5/15/2020,27,473,7,480,0.9098
138,Kukoro: Stream chat games,11/6/2020,101,643,15,658,0.9096
139,Boomerang Fu,8/13/2020,171,1583,68,1651,0.9095
140,徒花異譚 / Adabana Odd Tales,6/18/2020,70,682,17,699,0.9095
141,Unrailed!,9/23/2020,9852,15348,1108,16456,0.9094
142,DDraceNetwork,8/17/2020,3054,11931,837,12768,0.9092
143,Friendship with Benefits,11/4/2020,272,1359,55,1414,0.9092
144,Path of Giants,2/14/2020,43,786,23,809,0.9088
145,Spelunky 2,9/29/2020,9702,16266,1200,17466,0.9085
146,DOOM 64,3/20/2020,1257,5816,370,6186,0.9084
147,Progressbar95,9/8/2020,64,1708,78,1786,0.9084
148,Scarlet Hollow — Episode 1,9/25/2020,35,604,14,618,0.9084
149,Maiden & Spell,2/25/2020,130,602,14,616,0.9083
150,Creaks,7/22/2020,286,3069,171,3240,0.908
151,Slap City,9/17/2020,781,2670,143,2813,0.908
152,One Step From Eden,3/26/2020,2360,6421,420,6841,0.9079
153,Space Bear,3/5/2020,21,421,6,427,0.9075
154,Mushroom Cats 2,4/24/2020,9,486,9,495,0.9074
155,STORY OF SEASONS: Friends of Mineral Town,7/15/2020,3706,4281,263,4544,0.9071
156,Summer Memories,6/15/2020,5036,11193,810,12003,0.9069
157,Crusader Kings III,9/1/2020,98872,87576,7612,95188,0.9067
158,Chicken Police,11/5/2020,164,1711,82,1793,0.9066
159,Coloring Game 3,4/17/2020,504,1336,58,1394,0.9066
160,Horizon's Gate,3/9/2020,133,748,23,771,0.9066
161,Littlewood,8/4/2020,1678,5767,380,6147,0.9065
162,Vibrant Venture,7/24/2020,103,571,14,585,0.9062
163,喵可莉的兔玩偶,2/3/2020,95,995,38,1033,0.9059
164,The White Door,1/9/2020,1144,4702,302,5004,0.9058
165,The Battle of Polytopia,8/4/2020,966,3317,198,3515,0.9057
166,Ostriv,3/19/2020,1252,4007,251,4258,0.9054
167,Until You Fall,10/27/2020,146,2824,163,2987,0.9054
168,Amairo Chocolate,3/19/2020,66,539,13,552,0.9053
169,Perfect Vermin,11/6/2020,181,2809,164,2973,0.9048
170,Last Evil,6/24/2020,734,3001,180,3181,0.9043
171,MetaWare High School (Demo),4/2/2020,43,599,17,616,0.9041
172,Frog Fractions: Game of the Decade Edition,8/2/2020,321,2128,118,2246,0.9036
173,Ninja Kiwi Archive,7/8/2020,758,4245,279,4524,0.9035
174,Parkasaurus,8/13/2020,953,2548,149,2697,0.9035
175,Kill It With Fire,8/13/2020,472,3442,217,3659,0.9034
176,My Vow to My Liege,9/22/2020,684,3378,213,3591,0.9032
177,UNREAL LIFE,11/19/2020,79,877,34,911,0.9032
178,Mosaique Neko Waifus 3,8/27/2020,380,1789,95,1884,0.9031
179,秘封旅行 ~Secret Sealing Travel,10/17/2020,138,231,0,231,0.903
180,Cross Princess,9/9/2020,70,773,28,801,0.9029
181,Stormworks: Build and Rescue,9/17/2020,6820,36175,3138,39313,0.9028
182,TheDawn,12/11/2020,221,7677,568,8245,0.9026
183,Streets of Rage 4,4/30/2020,6438,14639,1176,15815,0.9025
184,The Confession,5/18/2020,12,941,39,980,0.9023
185,Spice&Wolf VR2,12/10/2020,34,483,12,495,0.9023
186,One Dreamer: Prologue,5/7/2020,45,764,29,793,0.9013
187,Destroy All Humans!,7/28/2020,12423,8807,680,9487,0.9011
188,RealRTCW,10/15/2020,106,1039,47,1086,0.901
189,High Entropy: Challenges,9/1/2020,156,968,43,1011,0.9005
190,Master of Magic Classic,2/25/2020,156,569,18,587,0.9005
191,Freedom Fighters,9/21/2020,157,1340,69,1409,0.9002
192,Neighbours back From Hell,10/8/2020,553,3167,209,3376,0.9001
193,Ghostrunner,10/27/2020,11294,48695,4484,53179,0.9
194,Suzerain,12/4/2020,1090,5079,369,5448,0.8998
195,三国群英传2,11/13/2020,1026,1284,66,1350,0.8996
196,art of rally,9/23/2020,477,3961,277,4238,0.8995
197,Full Service,3/16/2020,173,469,13,482,0.8994
198,A Monster's Expedition,9/10/2020,254,990,46,1036,0.8993
199,Soldat,3/31/2020,622,1552,87,1639,0.8988
200,夜永 Eternal Love,11/19/2020,304,785,33,818,0.8986
201,狐の旅路,1/28/2020,161,1423,78,1501,0.8985
202,Zniw Adventure,11/6/2020,29,223,1,224,0.8985
203,Mr.Mine,10/1/2020,5093,12593,1061,13654,0.8983
204,东方祈华梦～Elegant Impermanence of Sakura,4/16/2020,313,440,12,452,0.8983
205,DOOM Eternal,3/20/2020,104891,161545,16189,177734,0.8982
206,WHAT THE GOLF?,10/22/2020,636,2746,182,2928,0.8982
207,Liquidators,9/30/2020,53,773,33,806,0.8978
208,Paradise Killer,9/4/2020,291,2942,200,3142,0.8977
209,ONE PIECE: PIRATE WARRIORS 4,3/26/2020,9219,13173,1130,14303,0.8974
210,東方地霊殿 〜 Subterranean Animism.,6/6/2020,48,431,12,443,0.8974
211,Timelie,5/21/2020,215,2000,125,2125,0.8972
212,Shady Part of Me,12/10/2020,134,1430,81,1511,0.8971
213,来自边境 - From Frontier,7/25/2020,35,256,3,259,0.8968
214,FOOTSIES,9/30/2020,99,389,10,399,0.8967
215,Unbound: Worlds Apart Prologue,3/26/2020,280,841,39,880,0.8965
216,Red Planet Farming,5/25/2020,135,677,28,705,0.8964
217,他人世界末,7/10/2020,233,2223,146,2369,0.8961
218,THE CORRIDOR,12/4/2020,377,1697,104,1801,0.896
219,Bright Memory,3/25/2020,1907,29211,2765,31976,0.8953
220,PLAYNE,5/1/2020,38,1041,55,1096,0.8951
221,At Dead Of Night,11/19/2020,197,1941,126,2067,0.8949
222,Aground,4/17/2020,389,1433,86,1519,0.8945
223,My Name is Mayo 2,11/17/2020,13,317,7,324,0.8945
224,Third Crisis,4/24/2020,219,920,47,967,0.8944
225,Hidden Through Time,3/12/2020,229,2155,146,2301,0.8941
226,Novena Diabolos,4/26/2020,540,1373,82,1455,0.8941
227,Monster Sanctuary,12/8/2020,1397,8121,693,8814,0.894
228,Elasto Mania,5/25/2020,43,216,2,218,0.8939
229,Omno: Prologue,9/11/2020,29,273,5,278,0.8935
230,Sheepo,8/26/2020,14,254,4,258,0.8935
231,Sakuna: Of Rice and Ruin,11/10/2020,7043,4127,323,4450,0.8933
232,UnderMine,8/6/2020,3245,7534,645,8179,0.8932
233,Crystal Caves HD,10/15/2020,55,252,4,256,0.8932
234,剑为君舞,3/25/2020,346,844,43,887,0.893
235,Clam Man 2 - Open Mic,6/19/2020,32,369,11,380,0.8923
236,Sea of Thieves,6/3/2020,66906,264550,29074,293624,0.8919
237,Nocturne: Prelude,3/3/2020,33,382,12,394,0.8919
238,Half-Life: Alyx - Final Hours,7/9/2020,955,784,40,824,0.8917
239,Puppy Cross,2/11/2020,75,242,4,246,0.8916
240,Pretty Neko,2/21/2020,245,2784,209,2993,0.8915
241,Trials of Mana,4/24/2020,11998,4507,369,4876,0.8914
242,東方催狐譚 ～ Servants of Harvest Wish,8/3/2020,50,327,9,336,0.8911
243,Cat in the Box,5/1/2020,45,996,57,1053,0.891
244,Tonight We Riot,5/8/2020,84,497,20,517,0.891
245,Ato,5/8/2020,19,309,8,317,0.891
246,Petal Crash,10/12/2020,41,256,5,261,0.8909
247,Gladiator Guild Manager: Prologue,8/27/2020,482,1406,91,1497,0.8906
248,MARDEK,6/3/2020,52,217,3,220,0.8906
249,:THE LONGING:,3/5/2020,1063,4860,408,5268,0.8905
250,Golf Around!,12/4/2020,214,937,53,990,0.8905
