#,Name,Release,Peak Users,Positive,Negative,Total,Rating
150,Gorilla Tag,1/1/2023,1679,32713,3479,36192,0.8867
151,Crimson Snow,3/29/2023,103,867,52,919,0.8866
152,Roots of Pacha,4/25/2023,6062,1887,143,2030,0.8862
153,Quest for the Golden Candelabra,5/12/2023,26,156,1,157,0.8861
154,KILLBUG,5/3/2023,20,227,5,232,0.8857
155,To The Core,8/10/2023,2623,1018,66,1084,0.8856
156,The Cosmic Wheel Sisterhood,8/16/2023,812,707,40,747,0.8855
157,Kujlevka,4/6/2023,73,242,6,248,0.8854
158,Unsorted Horror,8/1/2023,41,208,4,212,0.8853
159,Projekt: Passion,5/26/2023,636,1220,85,1305,0.8847
160,Venba,7/31/2023,204,490,24,514,0.8841
161,帶我去地下城吧！！,6/29/2023,2066,1316,95,1411,0.8839
162,Let's School Homeroom,6/20/2023,1075,899,58,957,0.8838
163,Dynopunk: Welcome to Synth-City,4/12/2023,72,164,2,166,0.8834
164,SEASON: A letter to the future,1/31/2023,461,993,67,1060,0.8832
165,The Bookwalker,6/22/2023,316,704,42,746,0.8831
166,Aliens After Ava,1/13/2023,14,143,1,144,0.8828
167,Bio Prototype,4/12/2023,3143,1893,153,2046,0.8824
168,Halls of Torment Prelude,3/9/2023,1080,1014,70,1084,0.8823
169,King of the Hat,8/24/2023,27,141,1,142,0.8823
170,Showgunners,5/2/2023,533,689,42,731,0.8818
171,BETON BRUTAL,3/31/2023,269,641,38,679,0.8817
172,Clash: Artifacts of Chaos,3/9/2023,148,444,22,466,0.8816
173,Rise of the Triad: Ludicrous Edition,7/31/2023,265,309,12,321,0.8813
174,BattleBit Remastered,6/15/2023,87323,74243,8781,83024,0.8812
175,Fuga: Melodies of Steel 2,5/11/2023,146,155,2,157,0.8811
176,Cultivation Story: Reincarnation,1/30/2023,1626,1553,123,1676,0.881
177,Mr. Saitou,3/23/2023,61,321,13,334,0.881
178,Feed All Monsters,6/22/2023,35,116,0,116,0.8808
179,Shadows of Doubt,4/24/2023,3562,4995,489,5484,0.8801
180,Pleh!,3/17/2023,124,433,22,455,0.8801
181,Homebody,6/1/2023,98,216,6,222,0.8801
182,Dynopunk,5/25/2023,82,168,3,171,0.88
183,THE BUTTON,5/26/2023,249,847,58,905,0.8798
184,It Comes In Waves,4/5/2023,19,183,4,187,0.8797
185,Hidden Cats in New York,6/16/2023,34,112,0,112,0.8795
186,SpongeBob SquarePants: The Cosmic Shake,1/31/2023,1949,1599,131,1730,0.8793
187,En Garde!,8/16/2023,574,583,35,618,0.8793
188,King Of The Castle,3/2/2023,321,861,60,921,0.8792
189,觅光：第一章 - Seeking Light : Chapter 1,3/25/2023,28,110,0,110,0.8789
190,Stray Gods: The Roleplaying Musical,8/10/2023,772,656,42,698,0.8786
191,Pocket Mirror ~ GoldenerTraum,5/19/2023,281,434,23,457,0.8786
192,Zup! Q,3/8/2023,46,146,2,148,0.8786
193,Repella Fella,6/5/2023,55,162,3,165,0.8784
194,SpunkStock: Music Festival,1/26/2023,277,222,7,229,0.8781
195,WHITE ALBUM,8/4/2023,159,221,7,228,0.8779
196,HOPE LEFT ME,3/10/2023,14,249,9,258,0.8778
197,Interior Worlds,4/7/2023,35,191,5,196,0.8778
198,OTXO,4/20/2023,243,677,45,722,0.8774
199,Artemis,4/29/2023,364,313,14,327,0.8773
200,Kill The Crows,8/21/2023,145,287,12,299,0.8773
201,Bombe,6/4/2023,80,124,1,125,0.8773
202,Die in the Dungeon PROLOGUE,1/12/2023,379,374,19,393,0.8769
203,BattleGroupVR,7/31/2023,40,737,51,788,0.8768
204,Koa and the Five Pirates of Mara,7/27/2023,48,202,6,208,0.8768
205,Golf It!,8/18/2023,2877,20440,2375,22815,0.8766
206,通神榜 Noobs Want to Live,2/14/2023,8622,3629,359,3988,0.8762
207,Let's School,7/27/2023,7255,2636,249,2885,0.8761
208,Revenant,3/29/2023,20,268,11,279,0.8761
209,It gets so lonely here,5/25/2023,27,184,5,189,0.876
210,SimRail - The Railway Simulator,1/13/2023,1914,1768,156,1924,0.8759
211,Creepy Tale 3: Ingrid Penance,3/9/2023,121,279,12,291,0.8757
212,Komorebi,7/27/2023,132,119,1,120,0.8756
213,Escape Memoirs: Questionable Side Stories,8/7/2023,390,264,11,275,0.8753
214,Aces and Adventures,2/23/2023,2455,1530,133,1663,0.875
215,挂机神话,4/7/2023,1142,1464,126,1590,0.875
216,Death From Above,5/25/2023,44,209,7,216,0.875
217,The Legend of Heroes: Trails into Reverie,7/7/2023,2286,369,20,389,0.8741
218,Blasphemous 2,8/24/2023,9055,1445,126,1571,0.874
219,Passpartout 2: The Lost Artist,4/4/2023,591,570,38,608,0.874
220,FISHGUN,7/5/2023,33,232,9,241,0.874
221,Toasterball,5/3/2023,23,177,5,182,0.874
222,SkyIsland,2/15/2023,216,600,41,641,0.8738
223,Shardpunk: Verminfall,4/13/2023,547,424,25,449,0.8737
224,Mega Man Battle Network Legacy Collection Vol. 1,4/14/2023,7843,733,54,787,0.8735
225,Atelier Ryza 3: Alchemist of the End & the Secret Key,3/24/2023,7162,1155,97,1252,0.8732
226,Farlanders,1/17/2023,251,361,20,381,0.8728
227,30XX,8/9/2023,768,1450,129,1579,0.8727
228,Demonologist,3/27/2023,8806,9180,1052,10232,0.8725
229,Plasma,3/30/2023,358,263,12,275,0.8723
230,STONKS-9800: Stock Market Simulator,7/17/2023,108,212,8,220,0.8723
231,Lies of Astaroth,5/11/2023,27,250,11,261,0.8722
232,Frogsong,6/10/2023,37,126,2,128,0.8722
233,The Baby in Yellow,5/26/2023,187,249,11,260,0.872
234,Last Train Outta' Wormtown,4/20/2023,246,333,18,351,0.8719
235,How We Know We're Alive,5/5/2023,21,155,4,159,0.8718
236,Driftwood,6/1/2023,93,248,11,259,0.8717
237,Dordogne,6/13/2023,96,247,11,258,0.8715
238,Misericorde: Volume One,3/24/2023,17,124,2,126,0.8715
239,Paradise Lust,5/24/2023,312,376,22,398,0.8714
240,Elf of Era! Idols Project,6/22/2023,55,89,0,89,0.871
241,GYLT,7/6/2023,102,218,9,227,0.8706
242,Caves of Lore,1/21/2023,103,205,8,213,0.8705
243,幸运草的约定,8/18/2023,186,164,5,169,0.8702
244,Nova Lands,6/22/2023,2822,1096,96,1192,0.8697
245,Love & Sex: Second Base,7/17/2023,458,667,51,718,0.8697
246,XENOTILT,8/18/2023,96,134,3,137,0.8696
247,Graze Counter GM,1/18/2023,72,103,1,104,0.8696
248,Alia's Carnival! Flowering Sky,6/21/2023,40,148,4,152,0.8695
249,Soundodger 2,4/10/2023,53,133,3,136,0.8693
250,Let's! Revolution!,7/19/2023,134,174,6,180,0.8691
