#,Name,Release,Peak Users,Positive,Negative,Total,Rating
1,Pizza Tower,1/26/2023,4529,37291,540,37831,0.9654
2,HoloCure - Save the Fans!,8/17/2023,46155,13372,86,13458,0.9654
3,Resident Evil 4,3/24/2023,168191,84816,2122,86938,0.9601
4,Pineapple on pizza,3/28/2023,1415,17506,352,17858,0.9551
5,Cats Hidden in Paris,7/17/2023,653,6188,61,6249,0.9549
6,Papa's Freezeria Deluxe,3/31/2023,1227,4601,37,4638,0.9533
7,Crab Champions,4/1/2023,8564,12974,256,13230,0.953
8,DAVE THE DIVER,6/28/2023,98480,50432,1539,51971,0.9525
9,The Murder of Sonic the Hedgehog,3/31/2023,15543,16707,383,17090,0.9522
10,VPet,8/14/2023,85551,9136,166,9302,0.9514
11,Volcano Princess,4/21/2023,31057,20252,528,20780,0.9508
12,东北之夏,1/9/2023,8672,9786,192,9978,0.9507
13,Hi-Fi RUSH,1/25/2023,6132,17501,439,17940,0.9506
14,Brotato,6/23/2023,32216,45396,1521,46917,0.9492
15,Steam Engine Simulator,6/7/2023,756,3209,36,3245,0.946
16,Bomb Rush Cyberfunk,8/18/2023,8174,4520,79,4599,0.9447
17,Baldur's Gate 3,8/3/2023,875343,240667,12295,252962,0.9407
18,乡村狂想曲,4/26/2023,4121,12132,405,12537,0.9404
19,A Space for the Unbound,1/19/2023,338,2581,40,2621,0.9394
20,Ghost Trick: Phantom Detective,6/30/2023,1474,1877,22,1899,0.9381
21,Halls of Torment,5/24/2023,26061,12067,449,12516,0.937
22,候鸟,1/11/2023,162,1652,18,1670,0.9368
23,Bloody Hell,1/27/2023,401,2325,42,2367,0.9358
24,DREDGE,3/30/2023,12686,17826,753,18579,0.9356
25,Handshakes,1/13/2023,195,1454,15,1469,0.9353
26,I commissioned some bees 0,1/12/2023,374,2334,45,2379,0.9348
27,Thronefall,8/2/2023,6723,4173,121,4294,0.9338
28,HROT,5/16/2023,438,3789,111,3900,0.9324
29,Sticky Business,7/17/2023,1120,1290,16,1306,0.9315
30,Pseudoregalia,7/28/2023,548,2604,65,2669,0.9314
31,OCTOPATH TRAVELER II,2/24/2023,17008,7012,283,7295,0.9295
32,Boneraiser Minions,3/9/2023,2029,3857,130,3987,0.9289
33,Voidigo,6/8/2023,626,2605,74,2679,0.9285
34,Your Turn To Die -Death Game By Majority-,2/20/2023,471,1002,11,1013,0.9283
35,Spin Rhythm XD,3/14/2023,313,3108,99,3207,0.9278
36,Smushi Come Home,6/10/2023,189,763,4,767,0.9278
37,Your Only Move Is HUSTLE,2/2/2023,3405,9389,431,9820,0.9274
38,Cassette Beasts,4/26/2023,2764,3693,137,3830,0.9255
39,Aimlabs,6/17/2023,10381,86382,5712,92094,0.9239
40,魔女的夜宴,7/21/2023,1374,1336,30,1366,0.9237
41,South Scrimshaw Part One,6/9/2023,32,577,2,579,0.9234
42,The Test: Secrets of the Soul,2/20/2023,16,866,13,879,0.9222
43,Endless Monday: Dreams and Deadlines,5/4/2023,96,482,0,482,0.9222
44,Touhou Hero of Ice Fairy,2/25/2023,573,1066,23,1089,0.9206
45,Turbo Overkill,8/11/2023,669,2897,118,3015,0.9195
46,Coffee Talk Episode 2: Hibiscus & Butterfly,4/20/2023,654,915,18,933,0.9194
47,Meg's Monster,3/2/2023,195,665,9,674,0.9182
48,스테퍼 케이스: 초능력 추리 어드벤처,4/30/2023,681,1080,28,1108,0.9172
49,Disfigure,7/27/2023,1272,1386,45,1431,0.916
50,Brick Rigs,7/14/2023,2460,32486,2273,34759,0.9159
51,Long Dream,4/11/2023,66,501,5,506,0.915
52,Slayers X,6/1/2023,275,719,15,734,0.9138
53,The Outlast Trials,5/18/2023,36689,28192,2025,30217,0.9136
54,My Friendly Neighborhood,7/18/2023,1009,1274,43,1317,0.9136
55,Amanda the Adventurer,4/25/2023,1418,3529,181,3710,0.9132
56,Half-Life: MMod,3/14/2023,1027,1981,84,2065,0.9132
57,Gravity Circuit,7/13/2023,482,904,25,929,0.9126
58,Bramble: The Mountain King,4/27/2023,594,1908,84,1992,0.9113
59,Homicipher: Prologue,6/1/2023,133,395,3,398,0.9113
60,Vertigo 2,3/30/2023,295,1348,51,1399,0.9112
61,Barotrauma,3/13/2023,19655,46252,3614,49866,0.9111
62,Contraband Police,3/8/2023,8124,7440,475,7915,0.9105
63,觅长生,1/13/2023,26379,19672,1436,21108,0.9104
64,DR LIVESEY ROM AND DEATH EDITION,2/13/2023,4005,6316,398,6714,0.9097
65,Landfall Archives,3/31/2023,1247,1379,56,1435,0.9093
66,Bing in Wonderland,1/13/2023,977,1356,55,1411,0.9091
67,Birth,2/17/2023,183,1196,47,1243,0.9081
68,Moonleap,4/11/2023,64,354,3,357,0.9079
69,Hogwarts Legacy,2/10/2023,879308,196915,17695,214610,0.9072
70,Cats Hidden in Italy,7/31/2023,51,386,5,391,0.9065
71,Shogun Showdown: Prologue,4/4/2023,590,547,13,560,0.9059
72,Apewar,3/24/2023,361,3198,189,3387,0.9057
73,Half-Life 2: VR Mod - Episode One,3/17/2023,193,354,4,358,0.9057
74,Pâquerette Down the Bunburrows,8/2/2023,170,369,5,374,0.9049
75,Scarlet Maiden,1/27/2023,736,1211,53,1264,0.9047
76,PARANORMASIGHT: The Seven Mysteries of Honjo,3/8/2023,582,1269,57,1326,0.9046
77,Ember Knights,7/18/2023,3073,3027,181,3208,0.9045
78,Trepang2,6/21/2023,1911,3432,212,3644,0.9044
79,Luck be a Landlord,1/6/2023,2544,7131,515,7646,0.9033
80,A Guidebook Of Babel,8/3/2023,175,348,5,353,0.9028
81,The Legend of Heroes: Trails to Azure,3/14/2023,884,358,6,364,0.9017
82,Path of Achra,5/1/2023,163,270,2,272,0.9016
83,Big Ambitions,3/10/2023,10961,5627,406,6033,0.9012
84,Zortch,6/8/2023,80,266,2,268,0.9011
85,20 Minutes Till Dawn,6/8/2023,12953,20409,1736,22145,0.9009
86,STASIS: BONE TOTEM,5/31/2023,247,588,19,607,0.9006
87,Mad Games Tycoon 2,5/31/2023,2182,4608,326,4934,0.9004
88,Can of Wormholes,3/24/2023,165,236,1,237,0.9003
89,Poosh XL,5/8/2023,49,208,0,208,0.8999
90,Elong Plug,2/25/2023,34,277,3,280,0.8997
91,Idol Showdown,5/6/2023,10901,3762,260,4022,0.8996
92,Mortal Sin,3/15/2023,191,470,13,483,0.8995
93,Killer Frequency,6/1/2023,341,1106,54,1160,0.8993
94,Try Again,7/15/2023,38,463,13,476,0.8989
95,Patch Quest,3/2/2023,2356,1546,87,1633,0.8986
96,We Love Katamari REROLL+ Royal Reverie,6/1/2023,907,625,23,648,0.8984
97,System Shock,5/30/2023,7850,5589,423,6012,0.8983
98,后发制人,8/10/2023,61,439,12,451,0.8982
99,Larcin Lazer,1/24/2023,38,244,2,246,0.8982
100,Book of Hours,8/17/2023,2892,1207,63,1270,0.898
101,Ages of Conflict: World War Simulator,2/17/2023,312,980,47,1027,0.8979
102,The Symbiant,2/2/2023,120,362,8,370,0.8978
103,The Test: Secrets of the Soul 2,4/10/2023,9,283,4,287,0.8977
104,Shogun Showdown,6/27/2023,1156,722,30,752,0.8975
105,Shadow Gambit: The Cursed Crew,8/17/2023,3930,1132,59,1191,0.8971
106,Mars First Logistics,6/22/2023,475,435,13,448,0.8961
107,Durka Simulator,3/21/2023,48,1609,97,1706,0.896
108,Fallen Hero: Retribution,2/2/2023,379,271,4,275,0.896
109,Orbo's Odyssey,8/21/2023,84,269,4,273,0.8958
110,流光易逝的夏末 - Fleeting Summer's End,1/6/2023,22,182,0,182,0.8958
111,Lake Haven - Chrysalis,1/18/2023,24,307,6,313,0.8956
112,Planet of Lana,5/23/2023,473,1632,100,1732,0.8954
113,Hush Hush - Only Your Love Can Save Them,4/20/2023,512,986,51,1037,0.8951
114,名画展 - Art Reborn（Painting Connoisseur）,8/17/2023,67,176,0,176,0.8947
115,Class of '09: The Re-Up,6/2/2023,42,219,2,221,0.8944
116,Starship Troopers: Extermination,5/17/2023,16372,20087,1880,21967,0.894
117,Tyrion Cuthbert: Attorney of the Arcane,6/23/2023,167,355,10,365,0.8927
118,方寸文明,1/1/2023,1414,1025,58,1083,0.892
119,Plantera 2: Golden Acorn,4/12/2023,782,619,28,647,0.8917
120,NUKITASHI,6/23/2023,587,590,26,616,0.8916
121,Amnesia: The Bunker,6/6/2023,2423,3625,286,3911,0.8915
122,24 Killers,3/9/2023,29,158,0,158,0.8913
123,EMPTY SHELL: PROLOGUE,1/6/2023,130,843,45,888,0.8911
124,Love Love School Days,2/6/2023,277,453,17,470,0.8911
125,Figment 2: Creed Valley,3/9/2023,62,310,8,318,0.8911
126,Locke(d),1/23/2023,36,679,33,712,0.8909
127,Half-Life 2: VR Mod - Episode Two,4/6/2023,113,255,5,260,0.8907
128,Sifu,3/28/2023,3189,4101,335,4436,0.8906
129,"Warhammer 40,000: Boltgun",5/23/2023,7561,7634,681,8315,0.8905
130,Deathbulge: Battle of the Bands,8/8/2023,99,197,2,199,0.8905
131,ΔV: Rings of Saturn,7/21/2023,819,1645,112,1757,0.8902
132,Wretched Depths,4/26/2023,20,269,6,275,0.8901
133,VIVIDLOPE,5/19/2023,42,152,0,152,0.89
134,CARNAGE OFFERING TD,5/26/2023,47,265,6,271,0.8895
135,Viewfinder,7/18/2023,2121,2361,178,2539,0.8893
136,SLUDGE LIFE 2,6/27/2023,264,376,13,389,0.8891
137,Dangeresque: The Roomisode Triungulate,8/11/2023,148,189,2,191,0.889
138,Beat Banger,4/24/2023,216,491,21,512,0.8888
139,memories,2/3/2023,38,596,29,625,0.8883
140,The Last Spell,3/9/2023,6755,7950,737,8687,0.8881
141,Demons Roots,1/14/2023,612,849,49,898,0.8879
142,Wartales,4/12/2023,35879,17363,1743,19106,0.8877
143,Poly Bridge 3,5/30/2023,1147,615,31,646,0.8876
144,q.u.q.,2/27/2023,24,520,24,544,0.8875
145,RHYTHM SPROUT,2/1/2023,204,379,14,393,0.8875
146,Dead Space,1/27/2023,30925,25054,2600,27654,0.8873
147,NOeSIS Ⅱ-人间无常,2/26/2023,17,140,0,140,0.8873
148,Wall World,4/5/2023,4650,4787,422,5209,0.8871
149,Shadows of Forbidden Gods,7/15/2023,502,567,28,595,0.8868
