#,Name,Release,Peak Users,Positive,Negative,Total,Rating
1,Totally Accurate Battle Simulator,4/1/2021,13674,108163,2344,110507,0.9643
2,Dyson Sphere Program,1/21/2021,59815,70290,1602,71892,0.9612
3,Firework,2/4/2021,3746,34391,683,35074,0.9599
4,Rhythm Doctor,2/26/2021,2892,17613,282,17895,0.9588
5,The Room 4: Old Sins,2/11/2021,1199,12455,161,12616,0.9588
6,The Chronicles Of Myrtana: Archolos,12/10/2021,9328,12513,175,12688,0.9579
7,Inscryption,10/19/2021,17072,92698,2863,95561,0.9551
8,Cookie Clicker,9/1/2021,67867,48228,1421,49649,0.9532
9,Project Kat - Paper Lily Prologue,10/15/2021,238,3899,28,3927,0.9521
10,TOEM,9/17/2021,402,3973,35,4008,0.9508
11,文字遊戲：第零章,1/14/2021,412,4383,49,4432,0.9499
12,100 hidden frogs,11/15/2021,58,5014,71,5085,0.9488
13,Webbed,9/9/2021,1151,10751,249,11000,0.9484
14,海沙风云 Far Away,8/17/2021,1053,5147,77,5224,0.9484
15,Before Your Eyes,4/8/2021,510,10582,244,10826,0.9483
16,Tiny Bunny,4/16/2021,5603,16110,445,16555,0.9477
17,东方夜雀食堂 - Touhou Mystia's Izakaya,10/1/2021,2475,15785,433,16218,0.9477
18,Clone Drone in the Danger Zone,7/27/2021,1944,23210,735,23945,0.9468
19,SuchArt: Creative Space,1/21/2021,879,6246,127,6373,0.9457
20,Purrgatory,8/23/2021,108,3080,34,3114,0.9457
21,第七号列车 - Train No. 7,8/14/2021,263,5765,115,5880,0.9452
22,星空列车与白的旅行,5/14/2021,300,2681,26,2707,0.945
23,Aventura Copilului Albastru și Urât,2/8/2021,187,2320,17,2337,0.945
24,Doki Doki Literature Club Plus!,6/30/2021,8662,20619,684,21303,0.9446
25,Milk outside a bag of milk outside a bag of milk,12/16/2021,291,11512,323,11835,0.9446
26,MADNESS: Project Nexus,9/29/2021,4919,12173,357,12530,0.944
27,The Last Campfire,10/7/2021,402,6113,137,6250,0.9437
28,Resident Evil Village,5/7/2021,106631,92199,4072,96271,0.9432
29,Cruelty Squad,6/16/2021,1791,12763,397,13160,0.9428
30,Mon Bazou,12/16/2021,1979,8857,246,9103,0.9426
31,Psychonauts 2,8/24/2021,7262,9272,266,9538,0.9422
32,It Takes Two,3/26/2021,32685,126464,6022,132486,0.9415
33,Portal Reloaded,4/19/2021,5194,17336,611,17947,0.9415
34,Alpaca Stacka,7/29/2021,111,4977,118,5095,0.9403
35,Find Love or Die Trying,9/16/2021,545,9784,311,10095,0.94
36,BAD END THEATER,10/26/2021,159,5726,149,5875,0.9398
37,Valheim,2/2/2021,502387,393114,21242,414356,0.9396
38,Snake Force,11/19/2021,291,4635,110,4745,0.9395
39,Milo and the Magpies,9/7/2021,82,2352,35,2387,0.9387
40,OPUS: Echo of Starsong - Full Bloom Edition,9/1/2021,567,6876,206,7082,0.9383
41,Walkabout Mini Golf,7/15/2021,274,2386,37,2423,0.9383
42,The Planet Crafter: Prologue,12/19/2021,1352,9095,316,9411,0.9367
43,Townscaper,8/26/2021,1165,18259,755,19014,0.9366
44,UNBEATABLE [white label],5/7/2021,528,7128,232,7360,0.9364
45,Scarlet Hollow,6/11/2021,520,1401,12,1413,0.9362
46,Car Mechanic Simulator 2021,8/11/2021,22561,19743,851,20594,0.9356
47,死寂（DeathlyStillness）,9/4/2021,1182,17361,737,18098,0.9353
48,Paint the Town Red,7/29/2021,1423,22468,1011,23479,0.9349
49,Mini Motorways,7/20/2021,9914,16398,698,17096,0.9348
50,The Rewinder,9/10/2021,1304,5558,177,5735,0.9345
51,枝江往事,6/11/2021,1142,4829,146,4975,0.9344
52,The Forgotten City,7/28/2021,603,7657,277,7934,0.9339
53,东方冰之勇者记：序章,12/17/2021,983,2858,67,2925,0.9339
54,Sword and Fairy,4/15/2021,1729,2944,75,3019,0.9326
55,pureya,3/26/2021,409,2021,40,2061,0.9323
56,OpenTTD,4/1/2021,3254,9715,401,10116,0.9317
57,Impostor Factory,9/30/2021,1754,9018,368,9386,0.9314
58,葬花·暗黑桃花源,10/21/2021,897,4493,149,4642,0.9311
59,Chicory: A Colorful Tale,6/10/2021,353,2461,61,2522,0.9308
60,ROUNDS,4/1/2021,2269,19536,952,20488,0.9307
61,Muck,6/5/2021,16715,142732,8764,151496,0.93
62,Swallow the Sea,9/3/2021,156,1822,38,1860,0.9298
63,LoveChoice 拣爱,11/15/2021,10241,22010,1122,23132,0.9296
64,Dagon,9/24/2021,755,9291,404,9695,0.9294
65,Incredibox,4/30/2021,308,2759,78,2837,0.9294
66,Bang-On Balls: Chronicles,3/3/2021,277,2562,70,2632,0.9292
67,I MAED A GAM3 W1TH Z0MB1ES 1NIT!!!1,11/11/2021,41,1342,22,1364,0.9288
68,東方虹龍洞 ～ Unconnected Marketeers.,5/3/2021,3416,1647,34,1681,0.9285
69,SUPER CHICKEN JUMPER,9/24/2021,171,3074,97,3171,0.928
70,英雄黄昏,9/29/2021,772,2081,53,2134,0.9279
71,Everhood,3/4/2021,819,10583,495,11078,0.9277
72,WorldBox - God Simulator,12/2/2021,11034,24810,1356,26166,0.9272
73,Samorost 1,5/20/2021,186,3434,118,3552,0.9269
74,Marvel's Guardians of the Galaxy,10/26/2021,10989,28187,1592,29779,0.9264
75,Wildermyth,6/15/2021,8106,14666,766,15432,0.9257
76,Dogs Organized Neatly,11/1/2021,119,852,9,861,0.9256
77,Mitoza,3/5/2021,126,2606,84,2690,0.9253
78,Northern Journey,8/18/2021,153,1752,45,1797,0.9252
79,ENDER LILIES,6/21/2021,6332,25920,1511,27431,0.9244
80,Timberborn,9/15/2021,12354,18506,1031,19537,0.9244
81,Gunfire Reborn,11/18/2021,35263,83358,5464,88822,0.9243
82,Little Nightmares II,2/10/2021,7103,27248,1603,28851,0.9242
83,Knights College,1/15/2021,599,1751,50,1801,0.9228
84,My Singing Monsters,3/24/2021,3939,29513,1811,31324,0.9226
85,Jerma's Big Adventure,8/27/2021,42,1082,21,1103,0.9226
86,Geometry Arena,6/1/2021,673,2172,74,2246,0.9213
87,Perfect Gold,4/19/2021,56,891,15,906,0.9212
88,Sizeable,3/19/2021,97,886,15,901,0.921
89,Super Animal Royale,8/26/2021,7648,34897,2264,37161,0.9206
90,Duck Simulator 2,11/22/2021,180,2171,77,2248,0.9201
91,Bunny eShop,11/12/2021,1935,9155,501,9656,0.9198
92,OnlyCans: Thirst Date,2/12/2021,156,2705,108,2813,0.9193
93,Griftlands,6/1/2021,7693,12241,713,12954,0.9192
94,Kinkoi,6/11/2021,506,1333,37,1370,0.9192
95,Zeepkist,1/28/2021,241,1058,25,1083,0.9187
96,Tetris® Effect: Connected,8/18/2021,1259,5430,275,5705,0.9184
97,Letters From a Rainy Day -Oceans and Lace-,6/30/2021,165,718,11,729,0.9183
98,Tree Simulator 2022,4/16/2021,150,1151,30,1181,0.9182
99,美少女万华镜 -理与迷宫的少女-,6/20/2021,810,2464,99,2563,0.9179
100,Heavenly Bodies,12/7/2021,443,2461,99,2560,0.9179
101,Turnip Boy Commits Tax Evasion,4/22/2021,356,8898,508,9406,0.9176
102,Brutal Orchestra,12/17/2021,176,939,21,960,0.9176
103,Behind the Frame: The Finest Scenery,8/25/2021,180,4765,240,5005,0.9173
104,Bitburner,12/10/2021,5935,5010,256,5266,0.9172
105,亿万恋人 Billionaire Lovers,7/3/2021,1352,3131,140,3271,0.9172
106,Cyber Manhunt,2/3/2021,2807,11884,722,12606,0.9169
107,坏小孩,7/15/2021,162,1357,42,1399,0.9169
108,Mosaique Neko Waifus 4,2/12/2021,715,4365,218,4583,0.9167
109,Quickie: A Love Hotel Story,12/17/2021,252,1325,41,1366,0.9165
110,DRAMAtical Murder,4/7/2021,343,2072,82,2154,0.9161
111,Cleo - a pirate's tale,12/12/2021,59,520,5,525,0.9161
112,9-nine-:Episode 4,3/19/2021,111,741,14,755,0.916
113,SNKRX,5/17/2021,1766,3827,188,4015,0.9159
114,Toree 2,9/30/2021,45,735,14,749,0.9157
115,NOeSIS-羽化,11/8/2021,82,422,2,424,0.9152
116,The Darkside Detective: A Fumble in the Dark,4/15/2021,216,1219,38,1257,0.915
117,The Legend of Tianding,11/2/2021,600,2474,109,2583,0.9148
118,Labyrinth City: Pierre the Maze Detective,6/22/2021,566,1806,70,1876,0.9148
119,Loop Hero,3/4/2021,51156,29476,2103,31579,0.9142
120,The Great Ace Attorney Chronicles,7/27/2021,2523,5080,280,5360,0.914
121,THE IDOLM@STER STARLIT SEASON,10/13/2021,6138,3826,197,4023,0.914
122,Skul: The Hero Slayer,1/20/2021,18970,40868,3024,43892,0.9138
123,Death Trash,8/5/2021,1008,2957,142,3099,0.9138
124,"If On A Winter's Night, Four Travelers",9/21/2021,129,1660,65,1725,0.9133
125,Escape Simulator,10/19/2021,6616,11337,737,12074,0.913
126,Karryn's Prison,12/15/2021,1052,2520,118,2638,0.9128
127,Days Gone,5/18/2021,27450,60920,4734,65654,0.9127
128,Death's Door,7/20/2021,3740,13247,897,14144,0.912
129,Landlord of the Woods,3/17/2021,19,545,9,554,0.9116
130,I'm on Observation Duty 4,12/22/2021,134,590,11,601,0.9115
131,In Sound Mind,9/28/2021,406,3161,164,3325,0.9114
132,ElecHead,10/14/2021,79,689,16,705,0.911
133,Dead Estate,10/19/2021,519,3478,191,3669,0.9101
134,Parquet,8/27/2021,924,1783,79,1862,0.9101
135,The Chrono Jotter,8/26/2021,124,1418,57,1475,0.9101
136,Redmatch 2,6/25/2021,807,9890,666,10556,0.91
137,Crab Game,10/29/2021,56106,136261,11610,147871,0.9098
138,Rain on Your Parade,4/15/2021,99,624,14,638,0.9097
139,A YEAR OF SPRINGS,9/29/2021,14,495,8,503,0.9097
140,Severed Steel,9/17/2021,330,2945,157,3102,0.9094
141,Toree 3D,4/9/2021,17,1160,43,1203,0.9094
142,Motor Town: Behind The Wheel,12/17/2021,610,2768,148,2916,0.9086
143,FINAL FANTASY,7/28/2021,3079,4711,288,4999,0.9083
144,秘密舞会,3/1/2021,115,560,12,572,0.9082
145,Purrfect Apawcalypse: Love at Furst Bite,2/16/2021,22,450,7,457,0.908
146,Turing Complete,10/2/2021,303,1642,75,1717,0.9079
147,The Adventure of NAYU,1/19/2021,69,1288,53,1341,0.9078
148,Ragnarock,7/15/2021,146,2502,133,2635,0.9076
149,Cloud Gardens,9/1/2021,286,1880,91,1971,0.9076
150,Cats in Time,8/26/2021,108,834,27,861,0.9074
151,The Advisor - Episode 1: Royal Pain,5/31/2021,10,526,11,537,0.9073
152,Bright Memory: Infinite,11/12/2021,22076,32391,2637,35028,0.9065
153,I Expect You To Die 2,8/24/2021,396,974,36,1010,0.9065
154,Unpacking,11/2/2021,2512,21349,1677,23026,0.9064
155,Saiko no sutoka,3/19/2021,140,2494,136,2630,0.9064
156,Annalynn,1/29/2021,37,385,5,390,0.9064
157,Blood Spear,8/13/2021,143,1611,77,1688,0.9059
158,Library Of Ruina,8/10/2021,8015,20646,1632,22278,0.9058
159,Huntdown,5/12/2021,337,2537,141,2678,0.9058
160,Flowers Blooming at the End of Summer,2/26/2021,111,1297,57,1354,0.9057
161,Critters for Sale,6/3/2021,58,821,28,849,0.9057
162,Slender Threads: Prologue,9/15/2021,56,392,6,398,0.905
163,IRMÃO Grande & Brasileiro 2,10/15/2021,128,530,13,543,0.9046
164,Sprocket,8/26/2021,1936,6961,491,7452,0.9045
165,Bubble People,10/13/2021,275,4727,314,5041,0.9041
166,Football Manager 2022,11/9/2021,88767,19283,1558,20841,0.9039
167,ScooterFlow,11/29/2021,365,1586,80,1666,0.9035
