#,Name,Release,Peak Users,Positive,Negative,Total,Rating
168,Touhou Endless Dream,11/1/2021,145,1683,87,1770,0.9034
169,Armoured Commander II,9/4/2021,35,396,7,403,0.9034
170,Ann,8/26/2021,182,1997,110,2107,0.9031
171,OMFG: One Million Fatal Guns,3/11/2021,231,2005,111,2116,0.9029
172,Luna's Fishing Garden,6/16/2021,172,1554,79,1633,0.9029
173,Record of Lodoss War-Deedlit in Wonder Labyrinth-,3/27/2021,848,5277,366,5643,0.9028
174,DEVOUR,1/28/2021,7969,59389,5338,64727,0.9027
175,Priest Simulator: Heavy Duty,10/18/2021,104,683,23,706,0.9026
176,巴哈姆特2-龍之新娘(Bahamut2-dragon's bride),9/30/2021,232,407,8,415,0.9025
177,风信楼,10/14/2021,2212,3114,197,3311,0.9021
178,Kaze and the Wild Masks,3/26/2021,135,1065,48,1113,0.9016
179,100 hidden cats,4/15/2021,6021,1707,93,1800,0.9014
180,Momotype,12/3/2021,30,579,18,597,0.9013
181,Moncage,11/16/2021,1965,4217,289,4506,0.9012
182,Antonball Deluxe,3/5/2021,62,452,11,463,0.9012
183,"Save Me, Sakuya-san!",6/2/2021,63,577,18,595,0.9011
184,Buddy Simulator 1984,2/18/2021,368,3187,207,3394,0.901
185,做个好梦,5/24/2021,72,3171,208,3379,0.9005
186,Enderal: Forgotten Stories (Special Edition),4/2/2021,2428,5194,377,5571,0.9001
187,Yakuza 6: The Song of Life,3/25/2021,1635,4370,308,4678,0.9001
188,Black Book,8/10/2021,1817,4492,319,4811,0.8999
189,Super Mombo Quest,11/4/2021,29,437,11,448,0.8998
190,Ancient Dungeon VR,11/3/2021,108,846,36,882,0.8996
191,Mondealy: Day One,9/13/2021,41,639,23,662,0.8994
192,NERTS! Online,1/5/2021,369,1303,68,1371,0.8992
193,TaleSpire,4/15/2021,1416,3324,226,3550,0.8991
194,东方华彩乱战2 ~ Touhou Blooming Chaos 2,6/24/2021,530,2238,139,2377,0.899
195,Teacup,9/23/2021,20,568,19,587,0.899
196,Grey Instinct - Part 1,7/21/2021,62,632,23,655,0.8989
197,Steven Universe: Unleash the Light,2/19/2021,117,579,20,599,0.8986
198,Nuclear Blaze,10/18/2021,74,526,17,543,0.8983
199,Subnautica: Below Zero,5/14/2021,42115,73186,7097,80283,0.8979
200,Soul Fantasy,12/31/2021,347,399,10,409,0.8978
201,Sunshine Heavy Industries,8/17/2021,24,284,4,288,0.8978
202,Love Sucks: Night One,4/9/2021,144,781,34,815,0.8974
203,Ready or Not,12/17/2021,19621,106179,10568,116747,0.8973
204,Sumire,5/26/2021,409,547,19,566,0.8973
205,Wrestling Empire,7/2/2021,261,1485,85,1570,0.8972
206,Obama Boss Fight,11/24/2021,482,559,20,579,0.8969
207,Mass Effect™ Legendary Edition,5/14/2021,59817,35067,3302,38369,0.8967
208,"Peace, Death! 2",10/7/2021,327,664,27,691,0.8966
209,Ys IX: Monstrum Nox,7/6/2021,1365,1293,72,1365,0.8964
210,MECHANICA: A Ballad of the Rabbit and Mercury,9/17/2021,138,646,26,672,0.8963
211,Melvor Idle,11/18/2021,11867,8649,720,9369,0.8962
212,UNSIGHTED,9/30/2021,238,1248,69,1317,0.8961
213,Farming Simulator 22,11/22/2021,105636,48040,4674,52714,0.8957
214,Rec Room,9/2/2021,7154,50429,4927,55356,0.8956
215,Shadow Man Remastered,4/15/2021,402,990,51,1041,0.8953
216,Terminus: Zombie Survivors,3/1/2021,117,524,19,543,0.8952
217,GUILTY GEAR -STRIVE-,6/11/2021,31156,37350,3606,40956,0.8951
218,Tormented Souls,8/27/2021,744,3981,301,4282,0.895
219,Jerma & Otto: The Curse of the Late Streamer,10/8/2021,39,425,13,438,0.895
220,Shadow Tactics: Blades of the Shogun - Aiko's Choice,12/6/2021,1676,3343,246,3589,0.8948
221,Perfect Heist 2,12/10/2021,847,2095,139,2234,0.8948
222,Siralim Ultimate,12/3/2021,761,1426,85,1511,0.8948
223,Boomerang X,7/8/2021,191,838,41,879,0.8945
224,Wytchwood,12/9/2021,345,2282,157,2439,0.894
225,Mundaun,3/16/2021,82,845,42,887,0.894
226,Pronty,11/19/2021,124,705,32,737,0.894
227,NKO DICE,5/29/2021,1132,398,12,410,0.8938
228,Sucker for Love: Prelude,12/15/2021,29,381,11,392,0.8938
229,100 hidden rams,8/20/2021,5,236,3,239,0.8938
230,A Random Maze 某个迷宫,3/11/2021,55,378,11,389,0.8934
231,The Legend of Heroes: Trails of Cold Steel IV,4/9/2021,2758,1722,112,1834,0.8932
232,Road 96,8/16/2021,2289,13256,1212,14468,0.893
233,GolfTopia,3/30/2021,77,423,14,437,0.893
234,Airtight City 1.0,7/8/2021,19,374,11,385,0.8929
235,Tavern Master,11/16/2021,2713,5859,488,6347,0.8928
236,Purrfect Apawcalypse: Purrgatory Furever,4/1/2021,14,188,1,189,0.8928
237,Marfusha,8/26/2021,1076,1943,132,2075,0.8926
238,子夜之章:历史的终局～MidNights of Desperado～,3/12/2021,23,267,5,272,0.8926
239,UnMetal,9/28/2021,433,1951,133,2084,0.8925
240,Bear's Restaurant,10/6/2021,24,419,14,433,0.8925
241,Hypnagogia: Boundless Dreams,10/29/2021,16,354,10,364,0.8925
242,Purrfect Apawcalypse: Patches' Infurno,5/13/2021,13,208,2,210,0.8925
243,Coloring Game 4,7/30/2021,624,1553,100,1653,0.8923
244,Catlateral Damage: Remeowstered,9/15/2021,32,185,1,186,0.8922
245,Haven Park,8/5/2021,98,637,29,666,0.892
246,軒轅劍參外傳 天之痕,8/19/2021,1600,1640,108,1748,0.8919
247,Furry Shades of Gay 2: A Shade Gayer,12/9/2021,105,746,37,783,0.8919
248,Pro Soccer Online,11/15/2021,4703,12872,1192,14064,0.8918
249,Re: LieF ~ Shin'ainaru Anata e~,2/26/2021,167,634,29,663,0.8917
250,Ynglet,6/5/2021,32,296,7,303,0.8916
