#,Name,Release,Peak Users,Positive,Negative,Total,Rating
92,The Past Within,11/2/2022,11642,10625,584,11209,0.9209
93,SANABI,6/20/2022,415,2850,111,2961,0.9208
94,10 Minutes Till Dawn,5/11/2022,3444,4100,182,4282,0.9206
95,The Stanley Parable: Ultra Deluxe,4/27/2022,13802,21323,1315,22638,0.9203
96,Lunacid,3/15/2022,547,2332,85,2417,0.9203
97,BROK the InvestiGator,8/26/2022,223,789,12,801,0.9202
98,Pentiment,11/15/2022,1250,3994,178,4172,0.9201
99,Shadows Over Loathing,11/11/2022,3077,2246,81,2327,0.9201
100,Ever Seen A Cat?,1/18/2022,15,568,4,572,0.9201
101,FAITH,10/21/2022,693,3390,146,3536,0.9195
102,Lily's Well,1/4/2022,140,1503,45,1548,0.9193
103,Marvel's Spider-Man: Miles Morales,11/18/2022,13539,21784,1375,23159,0.9192
104,A Taste of the Past,3/11/2022,47,1155,29,1184,0.919
105,Love Delivery,5/30/2022,546,2071,76,2147,0.9185
106,Warsim: The Realm of Aslona,12/20/2022,263,1214,33,1247,0.9182
107,Lost Judgment,9/14/2022,2269,3503,160,3663,0.9177
108,Not For Broadcast,1/25/2022,864,9083,521,9604,0.9176
109,所向之未来 - Towards Future,2/18/2022,28,548,5,553,0.9176
110,恋爱绮谭 不存在的真相,10/28/2022,437,1546,51,1597,0.9173
111,Leap of Faith,2/11/2022,505,1456,48,1504,0.9163
112,The Legend of Heroes: Trails from Zero,9/27/2022,817,771,15,786,0.9163
113,Capybara Spa,3/14/2022,188,1173,34,1207,0.9161
114,The Complex: Found Footage,8/18/2022,235,6207,345,6552,0.9156
115,Teenage Mutant Ninja Turtles: Shredder's Revenge,6/16/2022,11933,10867,669,11536,0.9155
116,Last Command,10/25/2022,422,1452,50,1502,0.9151
117,Wylde Flowers,9/20/2022,653,1104,32,1136,0.9151
118,Tribal Hunter,8/22/2022,270,1142,34,1176,0.915
119,Roadwarden,9/12/2022,622,2271,97,2368,0.9148
120,Seal World,4/1/2022,14,383,1,384,0.9145
121,My Sticker Book,8/24/2022,27,959,26,985,0.9142
122,Melatonin,12/15/2022,314,3166,154,3320,0.9141
123,Klonoa Phantasy Reverie Series,7/7/2022,753,1303,44,1347,0.9139
124,ELDEN RING,2/24/2022,953426,646268,55564,701832,0.9135
125,14 Minesweeper Variants,11/14/2022,346,551,8,559,0.9134
126,Disney Dreamlight Valley,9/6/2022,14314,11981,781,12762,0.9133
127,Magical Girl Celesphonia,5/7/2022,1583,1747,70,1817,0.9133
128,Dungeon Alchemist,3/31/2022,1181,1837,76,1913,0.913
129,Bendy and the Dark Revival,11/15/2022,5703,8131,503,8634,0.9129
130,Shinobi Warfare,6/14/2022,281,1944,83,2027,0.9127
131,Cut,1/15/2022,20,1226,42,1268,0.9126
132,Treasure of Nadia,2/16/2022,1699,4692,266,4958,0.9119
133,How Fish Is Made,1/14/2022,96,2397,113,2510,0.9119
134,Lunistice,11/10/2022,104,992,31,1023,0.9114
135,Garden Galaxy,12/14/2022,415,767,20,787,0.9109
136,Cave Crawler,1/23/2022,107,2608,130,2738,0.9108
137,Error143,7/26/2022,494,2301,110,2411,0.9108
138,Card Survival: Tropical Island,9/16/2022,2144,1566,66,1632,0.91
139,I Frog-ot,12/16/2022,25,401,4,405,0.9098
140,Acquitted,5/2/2022,137,765,21,786,0.9097
141,Sonic Frontiers,11/8/2022,19181,16742,1219,17961,0.9095
142,click to ten,3/9/2022,49,2534,130,2664,0.9092
143,Super Kiwi 64,12/2/2022,94,955,32,987,0.9089
144,Her New Memory,2/8/2022,261,3243,180,3423,0.9088
145,Flatworld,4/28/2022,442,786,23,809,0.9088
146,her tears were my light,9/28/2022,5,311,1,312,0.9087
147,暖雪 Warm Snow,1/19/2022,44702,25215,1950,27165,0.9084
148,Linelith,5/19/2022,65,454,7,461,0.9084
149,Shredders,3/16/2022,697,1669,76,1745,0.9082
150,Deadeye Deepfake Simulacrum,10/13/2022,45,356,3,359,0.9081
151,Freedom Planet 2,9/13/2022,964,1211,48,1259,0.908
152,Prodeus,9/23/2022,716,5136,322,5458,0.9079
153,Gun Devil,8/2/2022,106,981,35,1016,0.9077
154,Yoiyami Dancers: Twilight Danmaku Dancers,9/28/2022,77,350,3,353,0.9075
155,《文字遊戲》,1/21/2022,4105,4852,304,5156,0.9074
156,Five nights at Floppa,2/18/2022,40,976,35,1011,0.9074
157,Her World,10/6/2022,137,373,4,377,0.9074
158,Gloomwood,9/5/2022,1939,3652,218,3870,0.9068
159,Endling - Extinction is Forever,7/19/2022,232,1014,38,1052,0.9068
160,Hook 2,6/29/2022,59,499,10,509,0.9068
161,Kiwi Clicker,7/29/2022,1320,961,35,996,0.9067
162,Citizen Sleeper,5/5/2022,570,3635,218,3853,0.9065
163,The Lost Dachshund,5/17/2022,28,535,12,547,0.9064
164,TYRONE vs COPS,2/12/2022,70,1765,87,1852,0.906
165,Shadow Burglar,3/1/2022,36,621,17,638,0.9056
166,常轨脱离Creative,9/30/2022,184,579,15,594,0.9054
167,DEATH STRANDING DIRECTOR'S CUT,3/30/2022,6093,17838,1399,19237,0.9053
168,Jaded,4/29/2022,73,575,15,590,0.9051
169,Railbound,9/6/2022,365,901,34,935,0.9045
170,The Zachtronics Solitaire Collection,9/6/2022,128,384,6,390,0.9042
171,Weed Shop 3,4/21/2022,2551,3086,187,3273,0.9041
172,HYPER DEMON,9/19/2022,365,1762,91,1853,0.9041
173,Baldi's Basics Classic Remastered,10/21/2022,847,5059,342,5401,0.9038
174,Rock Life: The Rock Simulator,7/21/2022,515,1623,82,1705,0.9038
175,GNOSIA,1/23/2022,1140,2055,113,2168,0.9035
176,打工吧！天使酱 ~天使在魔界的劳改生活~,7/22/2022,40,371,6,377,0.903
177,瘟疫清零计划 Project Zero,9/11/2022,1172,2680,161,2841,0.9029
178,Urbek City Builder: Prologue,3/10/2022,475,1466,73,1539,0.9029
179,The Spirit and the Mouse,9/26/2022,57,349,5,354,0.9029
180,Countryball: Europe 1890,3/21/2022,78,349,5,354,0.9029
181,One-armed cook,8/30/2022,2408,13830,1099,14929,0.9028
182,Iron Lung,3/10/2022,173,6154,439,6593,0.9027
183,Kinkoi Golden Time,7/15/2022,328,409,8,417,0.9027
184,奇怪的RPG,10/1/2022,1160,3146,198,3344,0.9025
185,Moss: Book II,10/20/2022,64,277,2,279,0.9025
186,けものフレンズ Cellien May Cry,5/1/2022,302,677,23,700,0.9022
187,Kalinur,8/18/2022,44,423,9,432,0.9021
188,Seraph's Last Stand,3/23/2022,771,3080,195,3275,0.9019
