#,Name,Release,Peak Users,Positive,Negative,Total,Rating
140,Trailmakers,9/18/2019,4116,16126,1338,17464,0.901
141,逝去的回忆3：四叶草之梦,8/16/2019,27,574,18,592,0.9009
142,Aircar,8/9/2019,98,1939,112,2051,0.9006
143,The World is Your Weapon,6/28/2019,81,549,17,566,0.9003
144,Fear & Hunger,1/21/2019,930,4296,303,4599,0.8998
145,Zueirama,8/6/2019,60,1030,48,1078,0.8998
146,Assetto Corsa Competizione,5/29/2019,9416,25159,2222,27381,0.8995
147,Swords & Souls: Neverseen,7/22/2019,2137,3721,262,3983,0.8984
148,Unsung Warriors - Prologue,1/15/2019,113,1310,70,1380,0.8983
149,Pistol Whip,11/7/2019,213,3339,232,3571,0.898
150,Terminator: Resistance,11/14/2019,1392,11048,923,11971,0.8979
151,Heart of the Woods,2/15/2019,67,711,29,740,0.8978
152,Clea,7/10/2019,40,361,8,369,0.8977
153,Red Dead Redemption 2,12/5/2019,70914,401935,41994,443929,0.8973
154,Fate/EXTELLA LINK,3/19/2019,3118,3771,272,4043,0.8972
155,Deep Sleep Trilogy,10/25/2019,8,315,6,321,0.8967
156,Escape Lala,2/14/2019,16,296,5,301,0.8967
157,Super Jigsaw Puzzle: Generations,4/4/2019,233,782,35,817,0.8965
158,The Lar,6/10/2019,82,902,44,946,0.8959
159,Explore Fushimi Inari,10/11/2019,80,1333,76,1409,0.8958
160,Minion Masters,5/24/2019,10329,55724,5488,61212,0.8955
161,When the Darkness comes,3/1/2019,684,7408,611,8019,0.8955
162,Winds of Change,8/21/2019,61,493,17,510,0.8953
163,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",9/24/2019,4372,11058,963,12021,0.8951
164,雨的恋记,4/19/2019,26,567,22,589,0.8949
165,Seen,6/21/2019,1433,8152,689,8841,0.8947
166,The Long Drive,9/25/2019,3151,22873,2155,25028,0.8943
167,ALIA’s CARNIVAL！,11/15/2019,94,514,19,533,0.8942
168,I Walk Among Zombies Vol. 2 (Adult Version),8/12/2019,35,218,2,220,0.8942
169,CHAOS;CHILD,1/23/2019,137,2204,150,2354,0.8941
170,9-nine-:Episode 1,2/1/2019,64,1059,58,1117,0.8939
171,Pathologic 2,5/23/2019,1422,7841,677,8518,0.8929
172,Planet Zoo,11/5/2019,38630,64804,6658,71462,0.8928
173,The Last Sovereign,2/15/2019,72,467,17,484,0.8926
174,MageQuit,10/10/2019,222,1008,56,1064,0.8925
175,绮罗四时谭,11/6/2019,17,387,12,399,0.8925
176,Onimusha: Warlords,1/15/2019,526,1909,130,2039,0.8922
177,Coloring Game,4/12/2019,593,3440,266,3706,0.8921
178,ChronoBreach,4/29/2019,28,261,5,266,0.8917
179,Trap Shrine,3/29/2019,184,1441,92,1533,0.8916
180,Tailor Tales,1/10/2019,238,685,33,718,0.8914
181,コイカツ / Koikatsu Party,6/10/2019,398,5041,421,5462,0.8912
182,Hotel Sowls,12/31/2019,84,495,20,515,0.8908
183,The Song of Saya,8/13/2019,429,4062,332,4394,0.8905
184,Whispers of a Machine,4/17/2019,118,1502,100,1602,0.8901
185,Rock Simulator,11/27/2019,125,1094,66,1160,0.8901
186,Shepherd of Light,9/4/2019,55,710,36,746,0.8901
187,EverStopped,9/27/2019,47,396,14,410,0.8898
188,DRAGON QUEST BUILDERS™ 2,12/10/2019,3358,5577,485,6062,0.8895
189,Golden Treasure: The Great Green,6/17/2019,53,454,18,472,0.8895
190,Higurashi When They Cry Hou - Ch.7 Minagoroshi,7/18/2019,49,363,12,375,0.8895
191,Timeflow,1/19/2019,646,1334,87,1421,0.8894
192,Shovel Knight: Shovel of Hope,12/10/2019,52,673,34,707,0.8892
193,Workers & Resources: Soviet Republic,3/15/2019,3891,12519,1200,13719,0.8891
194,I hate this game,3/7/2019,84,1616,112,1728,0.8891
195,Wilmot's Warehouse,8/29/2019,60,360,12,372,0.8891
196,Mr. Hopp's Playhouse,11/15/2019,88,1232,80,1312,0.8885
197,Eve of Souls: Static Pod,6/5/2019,46,445,18,463,0.8885
198,Tree Simulator 2020,3/26/2019,15,459,19,478,0.8884
199,AI: The Somnium Files,9/18/2019,998,6210,558,6768,0.8882
200,NekoMiko,1/25/2019,33,398,15,413,0.8881
201,while True: learn(),1/17/2019,844,5950,533,6483,0.888
202,MO:Astray,10/25/2019,492,4213,360,4573,0.888
203,SENRAN KAGURA Burst Re:Newal,1/22/2019,334,1757,127,1884,0.8879
204,TheoTown,6/5/2019,121,1645,117,1762,0.8879
205,Fishy,9/20/2019,27,1257,83,1340,0.8879
206,Coloring Game: Little City,8/16/2019,289,919,55,974,0.8877
207,Digimon Story Cyber Sleuth: Complete Edition,10/17/2019,2404,7633,714,8347,0.8871
208,Snakeybus,5/10/2019,519,1934,145,2079,0.8871
209,Forager,4/18/2019,13438,32361,3428,35789,0.887
210,Drift86,11/19/2019,628,5036,448,5484,0.887
211,Tracks - The Train Set Game,11/14/2019,104,1130,75,1205,0.886
212,Open World Game: the Open World Game,11/19/2019,133,2147,169,2316,0.8856
213,Swords and Sandals Classic Collection,4/19/2019,179,1792,136,1928,0.8854
214,Sakura no Mori † Dreamers 2,3/15/2019,65,392,16,408,0.8854
215,Granny: Chapter Two,12/30/2019,42,642,35,677,0.8853
216,Arcade Spirits,2/12/2019,136,459,21,480,0.8852
217,Lords Of The Lockerroom,5/17/2019,10,288,9,297,0.8852
218,A Fisherman's Tale,1/22/2019,47,1100,74,1174,0.8849
219,Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,12/14/2019,13,170,2,172,0.8849
220,某1种青春,2/18/2019,65,345,13,358,0.8848
221,Blasphemous,9/10/2019,3247,30662,3328,33990,0.8847
222,Glass Masquerade 2: Illusions,2/28/2019,932,2466,203,2669,0.8845
223,Mutilate-a-Doll 2,3/1/2019,108,1491,110,1601,0.8845
224,Lovers of Aether,4/1/2019,651,1388,101,1489,0.8843
225,pact with a witch,6/25/2019,207,1450,107,1557,0.8841
226,Little Misfortune,9/18/2019,750,7793,762,8555,0.884
227,Vectronom,5/29/2019,25,250,7,257,0.8839
228,Hashihime of the Old Book Town,9/26/2019,44,280,9,289,0.8838
229,Legend of Keepers: Prologue,10/10/2019,803,2177,178,2355,0.8834
230,美少年梦工厂3：重生,5/9/2019,92,278,9,287,0.8834
231,Himno,4/26/2019,320,4968,468,5436,0.8828
232,Breeders of the Nephelym: Alpha,10/18/2019,2702,7813,780,8593,0.8825
233,DEMON'S TILT,12/13/2019,32,707,43,750,0.8824
234,Lingua Fleur: Lily,3/30/2019,19,194,4,198,0.8823
235,Escape Lala 2,7/18/2019,8,141,1,142,0.8823
236,Tamashii,3/5/2019,10,285,10,295,0.882
237,Blaster Master Zero,6/14/2019,90,748,47,795,0.8819
238,When The Past Was Around - Prologue,11/4/2019,14,604,35,639,0.8816
239,Astrologaster,5/9/2019,32,378,17,395,0.8815
240,Pretty Angel,12/13/2019,255,3182,287,3469,0.8814
241,Little Mouse's Encyclopedia,2/25/2019,21,190,4,194,0.8814
242,No Time to Relax,8/21/2019,1649,1268,95,1363,0.8813
243,The Last 47 Hours,3/1/2019,36,656,40,696,0.8809
244,Anodyne 2: Return to Dust,8/12/2019,95,586,34,620,0.8809
245,Ion Fury,8/15/2019,1471,6315,630,6945,0.8807
246,JermaSlots,4/7/2019,22,510,28,538,0.8805
247,Hello Neighbor Alpha 1,10/12/2019,149,2029,172,2201,0.8803
248,STAR WARS Jedi: Fallen Order™,11/15/2019,46550,116970,14243,131213,0.8802
249,MicroTown,8/30/2019,50,407,20,427,0.88
250,Air Marty,11/18/2019,16,314,13,327,0.8798
